make_model,make,price,body_type,mileage,gearbox,fuel_type,seller,power,gears,emission_class,previous_owner,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Mercedes Benz CL,Mercedes Benz,39900,Compact,7000.0,Automatic,Benzin,Dealer,122.0,7.0,Euro 6,First Hand,0.0,Standart,Low,standard
Mercedes Benz CL,Mercedes Benz,38890,Compact,5000.0,Automatic,Benzin,Dealer,122.0,7.0,Euro 6,First Hand,0.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,32990,Compact,41004.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,First Hand,4.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,12295,Compact,161839.0,Manual,Benzin,Dealer,90.0,6.0,Euro 6,Second Hand,9.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,27400,Compact,96300.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz A 35 AMG,Mercedes Benz,52999,Compact,50426.0,Automatic,Benzin,Dealer,228.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,29950,Compact,63267.0,Automatic,Benzin,Dealer,121.0,7.0,Euro 6,First Hand,4.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,36900,Compact,17500.0,Automatic,Benzin,Dealer,160.0,8.0,Euro 6,First Hand,1.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,22950,Compact,81835.0,Automatic,Benzin,Dealer,155.0,7.0,Euro 6,Second Hand,8.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,34950,Compact,74458.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,4.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,35950,Compact,14683.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,1.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,19990,Compact,87119.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,Second Hand,5.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,18750,Compact,108208.0,Manual,Benzin,Dealer,90.0,6.0,Euro 6,Second Hand,7.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,15250,Compact,100532.0,Manual,Benzin,Dealer,90.0,6.0,Euro 6,First Hand,9.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,22790,Compact,47638.0,Automatic,Diesel,Dealer,80.0,7.0,Euro 6,First Hand,5.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,27250,Compact,86000.0,Automatic,Diesel,Dealer,85.0,6.0,Euro 6,First Hand,3.0,Upgrated,Medium,standard
Mercedes Benz A 180,Mercedes Benz,28790,Compact,24045.0,Manual,Diesel,Dealer,85.0,6.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,28590,Compact,70840.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz A 160,Mercedes Benz,14990,Compact,69210.0,Manual,Diesel,Dealer,67.0,6.0,Other,Second Hand,8.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,23190,Compact,25919.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,13950,Compact,133773.0,Manual,Benzin,Dealer,90.0,6.0,Euro 6,Second Hand,9.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,33500,Compact,64810.0,Automatic,Benzin,Dealer,121.0,7.0,Euro 6,Second Hand,3.0,Standart,Low,standard
