make_model,make,location,price,body_type,type,doors,warranty,mileage,gearbox,fuel_type,paint,seller,seats,power,gears,co_emissions,drivetrain,full_service_history,non_smoker_vehicle,emission_class,upholstery,previous_owner,age,fuel_consumption_comb,entertainment_media_count,engine_size_cat,safety_security_category,extras_category,comfort_convenience_cat
Mercedes Benz A 160,Mercedes Benz,BE,27500,Compact,Used,5.0,No,11394.0,Manual,Benzin,Metallic,Dealer,5.0,80.0,6.0,129.0,Front,No,No,Euro 6,Leather,First Hand,1.0,5.6,Standart,Low,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,DE,8490,Compact,Used,5.0,Yes,141980.0,Automatic,Benzin,Metallic,Dealer,5.0,85.0,5.0,173.0,Front,Yes,Yes,Euro 5,Cloth,First Hand,11.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,23850,Compact,Used,5.0,Yes,71098.0,Automatic,Diesel,non-metallic,Dealer,5.0,80.0,7.0,108.0,Front,No,No,Euro 6,Leather,First Hand,4.0,5.2,Standart,Medium,Basic,standard,standard
Mercedes Benz A 220,Mercedes Benz,ES,35500,Compact,Used,5.0,Yes,26000.0,Automatic,Benzin,non-metallic,Dealer,5.0,140.0,7.0,141.0,Front,No,No,Euro 6,Leather,First Hand,3.0,6.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,29900,Compact,Used,5.0,Yes,26500.0,Automatic,Diesel,non-metallic,Dealer,5.0,85.0,7.0,121.0,Front,No,No,Euro 6,Leather,First Hand,1.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,25900,Compact,Used,5.0,Yes,43987.0,Automatic,Diesel,non-metallic,Dealer,5.0,85.0,7.0,103.0,Front,No,No,Euro 6,Leather,First Hand,3.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,16700,Compact,Used,5.0,Yes,139000.0,Automatic,Diesel,non-metallic,Dealer,5.0,80.0,7.0,89.0,Front,No,No,Euro 6,Leather,Second Hand,6.0,5.2,Standart,Medium,Basic,standard,standard
Mercedes Benz A 180,Mercedes Benz,DE,27460,Compact,Used,5.0,No,58813.0,Automatic,Benzin,non-metallic,Dealer,5.0,100.0,7.0,124.0,Front,Yes,Yes,Euro 6,Leather,Second Hand,2.0,5.4,Upgrated,Low,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,17399,Compact,Used,5.0,Yes,100640.0,Manual,Diesel,Metallic,Dealer,5.0,100.0,6.0,88.0,Front,No,No,Euro 6,Leather,Second Hand,9.0,4.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,23999,Compact,Used,5.0,Yes,100000.0,Automatic,Diesel,non-metallic,Dealer,5.0,100.0,7.0,99.0,Front,No,No,Euro 6,Leather,Second Hand,6.0,4.1,Standart,Medium,Premium,standard,standard
